tempo lunghezzaS
143666.66666666666 1000
102700.0 1064
146866.66666666666 1133
180150.0 1207
489550.0 1285
198750.0 1368
224550.0 1457
240200.0 1551
250900.0 1652
147375.0 1759
80566.66666666667 1873
110800.0 1994
128225.0 2123
156150.0 2261
188800.0 2408
167733.33333333334 2564
106350.0 2730
16115.78947368421 2907
23530.76923076923 3095
29428.571428571428 3295
17493.103448275862 3509
19089.18918918919 3736
91300.0 3978
22670.967741935485 4236
27446.666666666668 4511
28438.88888888889 4803
41166.666666666664 5114
35058.333333333336 5446
32970.967741935485 5798
49800.0 6174
59743.75 6574
38700.0 7000
41373.333333333336 7454
51433.333333333336 7937
50170.0 8451
51368.75 8998
53382.35294117647 9581
59250.0 10202
66082.35294117648 10863
66662.5 11567
81350.0 12316
100877.77777777778 13114
80460.0 13964
89450.0 14868
92137.5 15832
100455.55555555556 16857
109033.33333333333 17950
141175.0 19113
118516.66666666667 20351
127125.0 21669
136850.0 23073
147225.0 24568
155650.0 26160
162300.0 27854
175133.33333333334 29659
184725.0 31581
207300.0 33627
214175.0 35805
226633.33333333334 38125
248675.0 40595
259300.0 43225
337400.0 46025
293033.3333333333 49007
353300.0 52182
327000.0 55563
353900.0 59163
378350.0 62996
483650.0 67077
419000.0 71422
455200.0 76050
481050.0 80977
508900.0 86223
547300.0 91809
576500.0 97757
609800.0 104090
662800.0 110834
695200.0 118014
753700.0 125660
829600.0 133801
849900.0 142470
893000.0 151700
911100.0 161528
1045700.0 171992
1075400.0 183135
1159100.0 195000
1188200.0 207633
1305100.0 221085
1323100.0 235408
1411200.0 250659
1515500.0 266898
1599800.0 284190
1690200.0 302601
1856900.0 322206
2027800.0 343080
2149400.0 365307
2294800.0 388974
2534800.0 414174
2720300.0 441006
3024300.0 469577
3080700.0 500000
