tempo lunghezza
140900.0 1000
132600.0 1064
175250.0 1133
134866.66666666666 1207
190966.66666666666 1285
206800.0 1368
162100.0 1457
214000.0 1551
233850.0 1652
266000.0 1759
407433.3333333333 1873
187566.66666666666 1994
128444.44444444444 2123
155333.33333333334 2261
172266.66666666666 2408
154833.33333333334 2564
217050.0 2730
178850.0 2907
195100.0 3095
205300.0 3295
257300.0 3509
33924.444444444445 3736
34720.68965517241 3978
56123.333333333336 4236
35734.782608695656 4511
44307.142857142855 4803
39253.846153846156 5114
42816.666666666664 5446
50600.0 5798
45407.142857142855 6174
40862.5 6574
53041.666666666664 7000
45093.333333333336 7454
64657.142857142855 7937
70530.0 8451
52662.5 8998
57954.545454545456 9581
58563.63636363636 10202
63057.142857142855 10863
68293.33333333333 11567
72166.66666666667 12316
112730.0 13114
100722.22222222222 13964
87560.0 14868
91287.5 15832
124812.5 16857
103183.33333333333 17950
123787.5 19113
151950.0 20351
140260.0 21669
137833.33333333334 23073
153375.0 24568
223716.66666666666 26160
191060.0 27854
171866.66666666666 29659
191850.0 31581
609800.0 33627
212633.33333333334 35805
228180.0 38125
332600.0 40595
265166.6666666667 43225
268966.6666666667 46025
345980.0 49007
314750.0 52182
327000.0 55563
350650.0 59163
370450.0 62996
391433.3333333333 67077
422700.0 71422
444825.0 76050
479050.0 80977
501500.0 86223
837233.3333333334 91809
681200.0 97757
619900.0 104090
639900.0 110834
919050.0 118014
1018500.0 125660
847300.0 133801
826200.0 142470
881600.0 151700
947000.0 161528
997200.0 171992
1062600.0 183135
1143000.0 195000
1212400.0 207633
1296400.0 221085
1499600.0 235408
1473900.0 250659
1701000.0 266898
1642700.0 284190
1756000.0 302601
2007500.0 322206
2244500.0 343080
2110200.0 365307
2283900.0 388974
2501600.0 414174
2682300.0 441006
3150000.0 469577
4455400.0 500000
