tempo lunghezzaS
1.29324E7 1000
152725.0 1064
167241.66666666666 1133
165350.0 1207
132200.0 1285
160600.0 1368
215650.0 1457
286400.0 1551
3033200.0 1652
106983.33333333333 1759
217450.0 1873
241220.0 1994
112475.0 2123
155350.0 2261
133566.66666666666 2408
157538.09523809524 2564
193250.0 2730
184375.0 2907
20791.463414634145 3095
221900.0 3295
30876.923076923078 3509
20186.666666666668 3736
23882.352941176472 3978
35727.083333333336 4236
37768.75 4511
27600.0 4803
46579.48717948718 5114
34466.666666666664 5446
37481.818181818184 5798
53938.46153846154 6174
58266.666666666664 6574
57044.444444444445 7000
46295.454545454544 7454
57961.53846153846 7937
46925.0 8451
51166.666666666664 8998
50650.0 9581
65406.25 10202
68512.5 10863
86200.0 11567
71687.5 12316
86815.38461538461 13114
74685.71428571429 13964
84525.0 14868
92000.0 15832
119510.0 16857
120542.85714285714 17950
140600.0 19113
111691.66666666667 20351
120680.0 21669
181240.0 23073
137475.0 24568
146350.0 26160
212760.0 27854
233600.0 29659
185250.0 31581
226260.0 33627
274933.3333333333 35805
226000.0 38125
265700.0 40595
250800.0 43225
253200.0 46025
291550.0 49007
315200.0 52182
301200.0 55563
326000.0 59163
331000.0 62996
411550.0 67077
374500.0 71422
411500.0 76050
446500.0 80977
499350.0 86223
522050.0 91809
573100.0 97757
603800.0 104090
612000.0 110834
703900.0 118014
934300.0 125660
881800.0 133801
796400.0 142470
1121700.0 151700
959800.0 161528
1136500.0 171992
1146000.0 183135
1241300.0 195000
1204000.0 207633
1269900.0 221085
1418100.0 235408
1515400.0 250659
1531500.0 266898
1677600.0 284190
1795100.0 302601
1892500.0 322206
2208500.0 343080
2312600.0 365307
2362200.0 388974
2554600.0 414174
2453500.0 441006
2779900.0 469577
2907600.0 500000
